fit,model,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCH3OH_residual,rCO_residual,rCH3OH_relative_error_%,rCO_relative_error_%,beta_CH3OH,beta_RWGS,drive_CH3OH_raw,drive_RWGS_raw,drive_CH3OH_used,drive_RWGS_used,r1_forward,r1_reverse,r2_forward,r2_reverse
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,3.0,12000.0,493.15,0.145,0.584213395043117,2.27159504463209,0.060739956206038,0.0730441124122807,0.0466889415700323,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00338678571428571,0.00179178571428571,0.00517857142857143,504.0195652173912,0.0033745222677364173,0.001873604485365055,-1.226344654929254e-05,8.181877107934512e-05,-0.362096913824941,4.566325673154612,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,3.0,12000.0,503.15,0.182,0.573332563848061,2.23122018467632,0.0690561634038838,0.090973330051437,0.0700902025199252,0.00343810236616845,0.00823025552201525,0.424891307866832,0.0038025,0.0026975,0.0065,504.0195652173912,0.003455276473011858,0.002369141335701118,-0.00034722352698814173,-0.0003283586642988819,-9.131453701200309,-12.172703032395994,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,4.0,12000.0,493.15,0.166,0.73425961533496,3.07312932112907,0.0917299634472368,0.0935306576731851,0.0679954689822675,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00409664285714286,0.00183192857142857,0.00592857142857143,504.0195652173912,0.00404252211417531,0.0018840770476170863,-5.412074296755071e-05,5.214847618851626e-05,-1.32109985797728,2.8466435319500456,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,5.0,12000.0,493.15,0.181,0.868715705538209,3.91123407840525,0.119956870517219,0.105954714871159,0.0923137571136606,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00459610714285714,0.00186817857142857,0.00646428571428571,504.0195652173912,0.004657180305205502,0.0018823877264819208,6.107316234836221e-05,1.4209155053350854e-05,1.3288019719748416,0.7605886969619459,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,6.0,12000.0,493.15,0.194,0.988226028194431,4.78512543407817,0.145907941000678,0.112138198926913,0.121042614370688,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500935714285714,0.00191921428571429,0.00692857142857143,504.0195652173912,0.005231231798843999,0.0018727329055406663,0.00022187465598685896,-4.648138017362361e-05,4.429204180485131,-2.4218963207813062,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,4.0,3.0,12000.0,493.15,0.176,0.464620515436636,2.43639272471853,0.0608890506495385,0.0713993512808168,0.042802327066142,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00339455285714286,0.00164187571428571,0.00503642857142857,504.0195652173912,0.0033434965604875206,0.0016878262675598264,-5.105629665533946e-05,4.595055327411652e-05,-1.5040654484995328,2.798662095693832,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,4.0,4.0,12000.0,493.15,0.198,0.587056912008653,3.30382541970549,0.088768995364554,0.0903667823355349,0.0629940359269672,0.00452933106085853,0.00678574513977512,0.678980987327082,0.0039661875,0.00169979464285714,0.00566598214285714,504.0195652173912,0.00401354463790391,0.0016995801570743737,4.735713790391012e-05,-2.1448578276634343e-07,1.194021661959,-0.012618335024625088,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,493.15,0.108,0.767032028399514,2.00138664231351,0.0574825615102647,0.0724734195696207,0.0502452038852149,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00320914285714286,0.00193371428571429,0.00514285714285714,504.0195652173912,0.0033442656598791165,0.0021457563136288655,0.00013512280273625648,0.00021204202791457556,4.210557421446735,10.96553040338376,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,503.15,0.136,0.763365487092877,1.96011402712442,0.0644535376754754,0.0904543940411071,0.0755909384491479,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00355542857142857,0.0029207619047619,0.00647619047619048,504.0195652173912,0.0034284086399726044,0.0027296584585114404,-0.00012701993145596566,-0.00019110344625045952,-3.5725631637405977,-6.542931347429986,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,513.15,0.157,0.760484531240439,1.93041049540889,0.0675565394251555,0.104224830928745,0.0972928622360129,0.00263416709606216,0.00990326681963732,0.270512743020095,0.0036932380952381,0.00378295238095238,0.00747619047619048,504.0195652173912,0.003519491075701354,0.003436757250489078,-0.00017374701953674606,-0.0003461951304633017,-4.704462995785944,-9.151453563265449,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,523.15,0.169,0.759827924442125,1.91636076287485,0.0651227001065533,0.112978211645812,0.114773540728458,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00354095238095238,0.00450666666666667,0.00804761904761905,504.0195652173912,0.0036234857660090336,0.004285154090127849,8.253338505665375e-05,-0.00022151257653882112,2.3308244838484793,-4.915219893612891,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,533.15,0.174,0.761016977433744,1.91466672874203,0.0581909989561318,0.117808120722698,0.128984481930335,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00315685714285714,0.00512885714285714,0.00828571428571429,504.0195652173912,0.0037386669120157683,0.005295072614018064,0.0005818097691586283,0.00016621547116092445,18.430031605169706,3.2407896443832427,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,493.15,0.121,0.952997856585947,2.71189037429457,0.0836044683003452,0.0912560628737352,0.0746417874784487,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00373947619047619,0.00202242857142857,0.00576190476190476,504.0195652173912,0.004000861007680673,0.0021475524982768296,0.0002613848172044824,0.0001251239268482596,6.989877830220849,6.186815624340028,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,503.15,0.151,0.954960370052755,2.64631962322273,0.0963000319344892,0.112052517179943,0.108313406500685,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00424238095238095,0.00294809523809524,0.00719047619047619,504.0195652173912,0.004099739936140563,0.002741609096001297,-0.00014264101624038641,-0.00020648614209394303,-3.3622868347155874,-7.004052631194961,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,513.15,0.173,0.958023800720462,2.59734096944018,0.104898649727723,0.12797888612989,0.13417677501934,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00456390476190476,0.00367419047619048,0.00823809523809524,504.0195652173912,0.0042073692930088636,0.0034639833394839855,-0.0003565354688958968,-0.00021020713670649466,-7.812070748538047,-5.7211823412172205,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,523.15,0.186,0.963453908363777,2.56902877457006,0.107486342295639,0.139119393738813,0.152934105142833,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00463228571428571,0.00422485714285714,0.00885714285714286,504.0195652173912,0.004329509887952889,0.004333860904563556,-0.00030277582633282153,0.00010900376170641657,-6.536207932923434,2.5800579290759336,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,533.15,0.192,0.969923964964802,2.5601721407724,0.102906828888807,0.146384164214304,0.168994517172874,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00440685714285714,0.00472685714285714,0.00914285714285715,504.0195652173912,0.0044659990240497795,0.005369220489915984,5.9141881192639224e-05,0.0006423633470588434,1.3420421691794437,13.5896501130679,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,5.0,12000.0,493.15,0.135,1.11088216159185,3.44049122584055,0.113211914038029,0.105341189550909,0.102786058996187,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00433928571428572,0.00208928571428571,0.00642857142857143,504.0195652173912,0.004590050388767409,0.0021355157651371157,0.0002507646744816889,4.623005085140552e-05,5.778939000401054,2.2127203826313795,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,5.0,12000.0,503.15,0.167,1.12086099156922,3.34388195433218,0.133036353974772,0.126924945059991,0.144064488553691,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00501,0.00294238095238095,0.00795238095238095,504.0195652173912,0.004700680624883734,0.0027361922890576226,-0.0003093193751162659,-0.0002061886633233272,-6.174039423478362,-7.007544796552638,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,5.0,12000.0,513.15,0.19,1.13236508921637,3.26903250640515,0.149275923395156,0.143557594215306,0.170980646483672,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00553714285714286,0.00351047619047619,0.00904761904761905,504.0195652173912,0.004821420566035275,0.0034698711151128036,-0.0007157222911075853,-4.060507536338652e-05,-12.92584117067362,-1.1566828304817105,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,6.0,12000.0,493.15,0.149,1.24488110506353,4.18702269207353,0.145699419066094,0.113460816545592,0.131921251461408,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500214285714286,0.00209309523809524,0.0070952380952381,504.0195652173912,0.0051293278149079444,0.0021156036967086038,0.00012718495776508406,2.250845861336394e-05,2.5426094655307376,1.0753671502232793,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,6.0,12000.0,503.15,0.187,1.26266713236729,4.03556338449419,0.177895596484611,0.135093368881744,0.183024141461875,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00599290476190476,0.00291185714285714,0.00890476190476191,504.0195652173912,0.005237735599510596,0.002722039825404625,-0.0007551691623941641,-0.0001898173174525149,-12.601053952910545,-6.518771634046046,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,7.0,12000.0,493.15,0.151,1.36206037086208,5.01246810829305,0.162960018408718,0.112039448571345,0.158034948970162,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00516276190476191,0.00202771428571429,0.00719047619047619,504.0195652173912,0.005664125065430138,0.0020862341554238693,0.0005013631606682282,5.851986970957946e-05,9.711142406272742,2.886001746985032,,,,,,,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,3.0,3.0,12000.0,493.15,0.145,0.584213395043117,2.27159504463209,0.060739956206038,0.0730441124122807,0.0466889415700323,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00338678571428571,0.00179178571428571,0.00517857142857143,504.0195652173912,0.0034672368797410112,0.00198897946255502,8.045116545530142e-05,0.00019719374826931003,2.37544303780285,11.005431436198315,0.1430412763867521,0.37870346388547754,0.8569587236132479,0.6212965361145224,0.8569587236132479,0.6212965361145224,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,3.0,3.0,12000.0,503.15,0.182,0.573332563848061,2.23122018467632,0.0690561634038838,0.090973330051437,0.0700902025199252,0.00343810236616845,0.00823025552201525,0.424891307866832,0.0038025,0.0026975,0.0065,504.0195652173912,0.0038080867731509873,0.0020098980375523796,5.586773150987375e-06,-0.0006876019624476202,0.14692368575903683,-25.49034151798407,0.28692199089439313,0.6056323273659936,0.7130780091056068,0.3943676726340064,0.7130780091056068,0.3943676726340064,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,3.0,4.0,12000.0,493.15,0.166,0.73425961533496,3.07312932112907,0.0917299634472368,0.0935306576731851,0.0679954689822675,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00409664285714286,0.00183192857142857,0.00592857142857143,504.0195652173912,0.003988221785206843,0.0018939785667896458,-0.00010842107193601708,6.204999536107568e-05,-2.646583451788464,3.3871405429682233,0.08888715206904681,0.41534208496805275,0.9111128479309532,0.5846579150319473,0.9111128479309532,0.5846579150319473,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,3.0,5.0,12000.0,493.15,0.181,0.868715705538209,3.91123407840525,0.119956870517219,0.105954714871159,0.0923137571136606,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00459610714285714,0.00186817857142857,0.00646428571428571,504.0195652173912,0.0044108983914216155,0.0018721887958092426,-0.00018520875143552412,4.010224380672717e-06,-4.029687421960105,0.21465958565225138,0.05398737987563405,0.42422639670010626,0.9460126201243659,0.5757736032998937,0.9460126201243659,0.5757736032998937,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,3.0,6.0,12000.0,493.15,0.194,0.988226028194431,4.78512543407817,0.145907941000678,0.112138198926913,0.121042614370688,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500935714285714,0.00191921428571429,0.00692857142857143,504.0195652173912,0.004752749799282229,0.0018732360614745292,-0.0002566073435749114,-4.597822423976078e-05,-5.122560365671046,-2.3956795539716755,0.03336277540597597,0.4230042323546545,0.966637224594024,0.5769957676453454,0.966637224594024,0.5769957676453454,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,4.0,3.0,12000.0,493.15,0.176,0.464620515436636,2.43639272471853,0.0608890506495385,0.0713993512808168,0.042802327066142,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00339455285714286,0.00164187571428571,0.00503642857142857,504.0195652173912,0.0035553933808460886,0.0017266706282548022,0.00016084052370322855,8.479491396909226e-05,4.738194704047278,5.164514782166803,0.14284305794513513,0.3978491427228247,0.8571569420548648,0.6021508572771753,0.8571569420548648,0.6021508572771753,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,4.0,4.0,12000.0,493.15,0.198,0.587056912008653,3.30382541970549,0.088768995364554,0.0903667823355349,0.0629940359269672,0.00452933106085853,0.00678574513977512,0.678980987327082,0.0039661875,0.00169979464285714,0.00566598214285714,504.0195652173912,0.004114321830097071,0.0016490897843385432,0.00014813433009707062,-5.0704858518596865e-05,3.734930083287051,-2.9829990776631936,0.0836574420429938,0.4325271883663089,0.9163425579570061,0.5674728116336911,0.9163425579570061,0.5674728116336911,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,3.0,12000.0,493.15,0.108,0.767032028399514,2.00138664231351,0.0574825615102647,0.0724734195696207,0.0502452038852149,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00320914285714286,0.00193371428571429,0.00514285714285714,504.0195652173912,0.0033004366447059934,0.0024007739205995507,9.12937875631333e-05,0.0004670596348852608,2.8448028531959246,24.153497666938673,0.1495802694074507,0.34956772349619897,0.8504197305925493,0.6504322765038011,0.8504197305925493,0.6504322765038011,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,3.0,12000.0,503.15,0.136,0.763365487092877,1.96011402712442,0.0644535376754754,0.0904543940411071,0.0755909384491479,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00355542857142857,0.0029207619047619,0.00647619047619048,504.0195652173912,0.003607417683082722,0.00263023264911204,5.198911165415175e-05,-0.0002905292556498601,1.4622459883440309,-9.947036599463727,0.2949722046317973,0.555229112193634,0.7050277953682027,0.444770887806366,0.7050277953682027,0.444770887806366,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,3.0,12000.0,513.15,0.157,0.760484531240439,1.93041049540889,0.0675565394251555,0.104224830928745,0.0972928622360129,0.00263416709606216,0.00990326681963732,0.270512743020095,0.0036932380952381,0.00378295238095238,0.00747619047619048,504.0195652173912,0.0034173379748560187,0.002811489989656017,-0.0002759001203820814,-0.0009714623912963627,-7.470412501642257,-25.680005812068707,0.48860271797720184,0.6974830280137612,0.5113972820227981,0.30251697198623884,0.5113972820227981,0.30251697198623884,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,3.0,12000.0,523.15,0.169,0.759827924442125,1.91636076287485,0.0651227001065533,0.112978211645812,0.114773540728458,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00354095238095238,0.00450666666666667,0.00804761904761905,504.0195652173912,0.0028066723180209504,0.0035438418931831527,-0.0007342800629314295,-0.0009628247734835174,-20.736795752501376,-21.36445503291827,0.6757413423042716,0.7529259543256475,0.32425865769572837,0.24707404567435254,0.32425865769572837,0.24707404567435254,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,3.0,12000.0,533.15,0.174,0.761016977433744,1.91466672874203,0.0581909989561318,0.117808120722698,0.128984481930335,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00315685714285714,0.00512885714285714,0.00828571428571429,504.0195652173912,0.0021280994613885754,0.005582346259131256,-0.0010287576814685647,0.00045348911627411583,-32.58803407674884,8.84191358118994,0.808654488677019,0.7435125902509442,0.19134551132298105,0.2564874097490558,0.19134551132298105,0.2564874097490558,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,2.0,4.0,12000.0,493.15,0.121,0.952997856585947,2.71189037429457,0.0836044683003452,0.0912560628737352,0.0746417874784487,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00373947619047619,0.00202242857142857,0.00576190476190476,504.0195652173912,0.003829388159840518,0.0022728643149233477,8.991196936432777e-05,0.0002504357434947777,2.404400102702038,12.382921554449707,0.08862348800153558,0.38840262920484736,0.9113765119984645,0.6115973707951526,0.9113765119984645,0.6115973707951526,,,,
